taxonUUID,taxonRank,kingdom,taiCOLNameCode,tfNameCode,simplifiedScientificName,scientificName,reason,number_of_occurrence,TT_URL
b18298cf-817f-4096-b802-2fd9fa3c24d5,infraspecies,Animalia,t0098285,"",Panulirus longipes longipes,Panulirus longipes longipes,taiCOLNameCode重複,30,https://taxatree.tbn.org.tw/taxa/b18298cf-817f-4096-b802-2fd9fa3c24d5
30a866d8-7239-4988-aa7d-39e1a291fc87,infraspecies,Animalia,t0033010,"",Spondylus barbatus barbatus,Spondylus barbatus barbatus,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/30a866d8-7239-4988-aa7d-39e1a291fc87
329f1de6-1e3f-49e2-a8bb-7b8cada93e11,infraspecies,Animalia,t0096619,"",Unio douglasiae taiwanicus,Unio douglasiae taiwanicus,taiCOLNameCode重複,27,https://taxatree.tbn.org.tw/taxa/329f1de6-1e3f-49e2-a8bb-7b8cada93e11
e18cb6a9-118a-49b7-99ed-7e96f2fa0c89,infraspecies,Animalia,t0096335,"",Melanoides tuberculatus tuberculatus,Melanoides tuberculatus tuberculatus,taiCOLNameCode重複,163,https://taxatree.tbn.org.tw/taxa/e18cb6a9-118a-49b7-99ed-7e96f2fa0c89
224b8f2b-3d37-4782-b181-1243c2b9b16a,infraspecies,Animalia,t0029328,"",Ginebis argenteonitens argenteonitens,Ginebis argenteonitens argenteonitens,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/224b8f2b-3d37-4782-b181-1243c2b9b16a
6fc7aee1-8a3d-46cb-8b1c-efeeab697f79,infraspecies,Animalia,t0086136,"",Polinices didyma didyma,Polinices didyma didyma,taiCOLNameCode重複,5,https://taxatree.tbn.org.tw/taxa/6fc7aee1-8a3d-46cb-8b1c-efeeab697f79
f74d8dee-19ad-447e-8fbf-9759721e8d6a,species,Animalia,t0099122,"",Themiste minor,Themiste minor,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/f74d8dee-19ad-447e-8fbf-9759721e8d6a
e07e0a3e-f174-42b4-9b68-3e1d274f7bad,species,Animalia,t0079441,"",Coryphosmila dolobrata,Coryphosmila dolobrata,taiCOLNameCode重複,9,https://taxatree.tbn.org.tw/taxa/e07e0a3e-f174-42b4-9b68-3e1d274f7bad
b78d90ca-6c3f-4ac1-a1b1-5c7bedcbad27,species,Animalia,t0100090,"",Archicolliuris bimaculata,Archicolliuris bimaculata,taiCOLNameCode重複,1,https://taxatree.tbn.org.tw/taxa/b78d90ca-6c3f-4ac1-a1b1-5c7bedcbad27
f912685c-a3b1-4a08-8a15-ebb6f2430a2a,species,Animalia,t0100635,"",Ophionea ishiii,Ophionea ishiii,taiCOLNameCode重複,5,https://taxatree.tbn.org.tw/taxa/f912685c-a3b1-4a08-8a15-ebb6f2430a2a
ec274766-91f2-4abe-adb6-089f30922a71,species,Animalia,t0030636,"",Platynus acroglyptus,Platynus acroglyptus,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/ec274766-91f2-4abe-adb6-089f30922a71
62cc5cb6-02d1-41f4-b609-0ba2a12590cf,species,Animalia,t0030128,"",Carabus blaptoides,Carabus blaptoides,taiCOLNameCode重複,3,https://taxatree.tbn.org.tw/taxa/62cc5cb6-02d1-41f4-b609-0ba2a12590cf
dc68d9f8-4397-45fe-952c-e19d2b91cec8,species,Animalia,t0057588,"",Adelocera shirozui,Adelocera shirozui,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/dc68d9f8-4397-45fe-952c-e19d2b91cec8
051ce713-0e6a-477e-aeb5-b9f6ed351cda,species,Animalia,t0083705,"",Csikia dimatoides,Csikia dimatoides,taiCOLNameCode重複,3,https://taxatree.tbn.org.tw/taxa/051ce713-0e6a-477e-aeb5-b9f6ed351cda
dd642f24-892c-4bb6-8419-7dfc806e05da,species,Animalia,t0083705,"",Penia babai,Penia babai,taiCOLNameCode重複,14,https://taxatree.tbn.org.tw/taxa/dd642f24-892c-4bb6-8419-7dfc806e05da
61cb7424-4cdc-438f-8646-0008cbdfc50a,species,Animalia,t0077746,"",Cephalallus oberthuri,Cephalallus oberthuri,taiCOLNameCode重複,6,https://taxatree.tbn.org.tw/taxa/61cb7424-4cdc-438f-8646-0008cbdfc50a
e103832e-b031-4e3c-b55f-3239277a45e1,species,Animalia,t0096694,"",Xylotrechus latefasciatus,Xylotrechus latefasciatus,taiCOLNameCode重複,1,https://taxatree.tbn.org.tw/taxa/e103832e-b031-4e3c-b55f-3239277a45e1
a4f93473-9406-445a-91e3-225e6972bed1,species,Animalia,t0076684,"",Bothrocalvia albolineata,Bothrocalvia albolineata,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/a4f93473-9406-445a-91e3-225e6972bed1
772282e8-a75d-474b-b8c1-a08d6a17fdf2,species,Animalia,t0027356,"",Lemnia circumsta,Lemnia circumsta,taiCOLNameCode重複,20,https://taxatree.tbn.org.tw/taxa/772282e8-a75d-474b-b8c1-a08d6a17fdf2
eec240e3-2271-45af-90d0-02feb738b407,species,Animalia,t0084236,"",Phrynocaria congener,Phrynocaria congener,taiCOLNameCode重複,1,https://taxatree.tbn.org.tw/taxa/eec240e3-2271-45af-90d0-02feb738b407
7efbe847-7016-452f-b118-eed31a2847ef,species,Animalia,t0040073,"",Strongylium scheknlingi,Strongylium scheknlingi,taiCOLNameCode重複,6,https://taxatree.tbn.org.tw/taxa/7efbe847-7016-452f-b118-eed31a2847ef
730266f1-ab88-48f7-8b8c-cf6b78bb4f02,species,Animalia,t0076554,"",Blitopertha polyanor,Blitopertha polyanor,taiCOLNameCode重複,61,https://taxatree.tbn.org.tw/taxa/730266f1-ab88-48f7-8b8c-cf6b78bb4f02
a94070bd-26a8-4355-9a61-362efa98b4e3,species,Animalia,t0061967,"",Dorcus gracilicornis,Dorcus gracilicornis,taiCOLNameCode重複,80,https://taxatree.tbn.org.tw/taxa/a94070bd-26a8-4355-9a61-362efa98b4e3
b4d16ec5-28f7-4902-86ad-38b567fedd61,species,Animalia,t0028709,"",Dorcus carinulatus,Dorcus carinulatus,taiCOLNameCode重複,66,https://taxatree.tbn.org.tw/taxa/b4d16ec5-28f7-4902-86ad-38b567fedd61
c143d773-9d86-4bdd-8cec-d14cbaf22e2d,species,Animalia,t0096537,"",Neolucanus maxinus,Neolucanus maxinus,taiCOLNameCode重複,72,https://taxatree.tbn.org.tw/taxa/c143d773-9d86-4bdd-8cec-d14cbaf22e2d
bcd64b50-db11-4e0e-81ef-e2a9bf1ce17c,species,Animalia,t0081611,"",Nigidius fromosanus,Nigidius fromosanus,taiCOLNameCode重複,3,https://taxatree.tbn.org.tw/taxa/bcd64b50-db11-4e0e-81ef-e2a9bf1ce17c
b0c8f13e-f93f-4042-b168-f2ecae6a08c4,species,Animalia,t0033290,"",Teneropsis formosanum,Teneropsis formosanum,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/b0c8f13e-f93f-4042-b168-f2ecae6a08c4
62ca0809-2aea-4f80-9f68-1579f95bd825,species,Animalia,t0033290,"",Teneropsis lividipenne,Teneropsis lividipenne,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/62ca0809-2aea-4f80-9f68-1579f95bd825
fcd27be9-cf19-4417-ad2b-5589a9afd1ee,species,Animalia,t0033290,"",Teneropsis mundum,Teneropsis mundum,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/fcd27be9-cf19-4417-ad2b-5589a9afd1ee
80fe6e00-43be-468e-92e0-c258f9cae9ad,species,Animalia,t0096904,"",Episcapha asahinai,Episcapha asahinai,taiCOLNameCode重複,1,https://taxatree.tbn.org.tw/taxa/80fe6e00-43be-468e-92e0-c258f9cae9ad
f06530ae-e1a0-4c63-a2b3-96374de38347,species,Animalia,t0037880,"",Rhynchophorus ferugineus,Rhynchophorus ferugineus,taiCOLNameCode重複,3,https://taxatree.tbn.org.tw/taxa/f06530ae-e1a0-4c63-a2b3-96374de38347
1a0097e7-5783-4537-bc6b-56cfe923dfda,species,Animalia,t0031280,"",Anthicus floralis,Anthicus floralis,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/1a0097e7-5783-4537-bc6b-56cfe923dfda
b235440d-923f-4f53-8df0-a7aa312779ee,species,Animalia,t0031280,"",Omonadus floralis,Omonadus floralis,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/b235440d-923f-4f53-8df0-a7aa312779ee
e30d0627-fc59-471c-8db6-86e094e1089f,species,Animalia,t0100175,"",Attagenus unicolor,Attagenus unicolor,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/e30d0627-fc59-471c-8db6-86e094e1089f
b163bc8b-c8bc-437d-b636-3c7346c35911,species,Animalia,t0100723,"",Cephalomalthinus taoyuanus,Cephalomalthinus taoyuanus,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/b163bc8b-c8bc-437d-b636-3c7346c35911
01b7da7e-b5be-431a-9db8-8db83a6e995d,species,Animalia,t0096878,"",Eobia chinensis,Eobia chinensis,taiCOLNameCode重複,15,https://taxatree.tbn.org.tw/taxa/01b7da7e-b5be-431a-9db8-8db83a6e995d
ae1bfd81-8f34-4dd7-b383-4d78ae7c473e,species,Animalia,t0056086,"",Rhynchaglaea leuteomixta,Rhynchaglaea leuteomixta,taiCOLNameCode重複,15,https://taxatree.tbn.org.tw/taxa/ae1bfd81-8f34-4dd7-b383-4d78ae7c473e
f75b27a9-3607-45d6-842f-64d2e671ab1c,species,Animalia,t0028568,"",Xylostola jamesyoungi,Xylostola jamesyoungi,taiCOLNameCode重複,68,https://taxatree.tbn.org.tw/taxa/f75b27a9-3607-45d6-842f-64d2e671ab1c
c97aee6f-1a0f-45cc-ba60-f520c93eb9d6,species,Animalia,t0099203,"",Tosirips perpulchrana,Tosirips perpulchrana,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/c97aee6f-1a0f-45cc-ba60-f520c93eb9d6
56e5eabe-dba8-49b0-ba9d-e1780cd3673c,species,Animalia,t0049821,"",Aroa substrigosa,Aroa substrigosa,taiCOLNameCode重複,28,https://taxatree.tbn.org.tw/taxa/56e5eabe-dba8-49b0-ba9d-e1780cd3673c
7d0a9704-af03-443f-a73d-a41cc6659a34,species,Animalia,t0028254,"",Nechesia albodentata,Nechesia albodentata,taiCOLNameCode重複,440,https://taxatree.tbn.org.tw/taxa/7d0a9704-af03-443f-a73d-a41cc6659a34
1adaa42a-2001-4425-8269-c1e3e40020ae,species,Animalia,t0049561,"",Agalope pica,Agalope pica,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/1adaa42a-2001-4425-8269-c1e3e40020ae
6cf358a1-486c-456a-bcbe-dbd9f7285b4c,species,Animalia,t0049562,"",Agalope trimacula,Agalope trimacula,taiCOLNameCode重複,5,https://taxatree.tbn.org.tw/taxa/6cf358a1-486c-456a-bcbe-dbd9f7285b4c
8fcc942f-06a6-4da8-ad48-f2750a3d050d,species,Animalia,t0049563,"",Agalope wangi,Agalope wangi,taiCOLNameCode重複,4,https://taxatree.tbn.org.tw/taxa/8fcc942f-06a6-4da8-ad48-f2750a3d050d
9400e377-72df-4be7-b36e-ff140fb87410,species,Animalia,t0056777,"",Zeuxippa formosa,Zeuxippa formosa,taiCOLNameCode重複,44,https://taxatree.tbn.org.tw/taxa/9400e377-72df-4be7-b36e-ff140fb87410
415878f1-ba09-476c-91e6-7d5e6fb949d0,species,Animalia,t0099135,"",Theretra nessus,Theretra nessus,taiCOLNameCode重複,656,https://taxatree.tbn.org.tw/taxa/415878f1-ba09-476c-91e6-7d5e6fb949d0
011f186b-e4d8-4eae-8b2b-189ca1d157a5,species,Animalia,t0049676,"",Analthes taihokualis,Analthes taihokualis,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/011f186b-e4d8-4eae-8b2b-189ca1d157a5
8e5475fa-cb20-4058-8188-371245b28383,species,Animalia,t0029359,"",Glyphodes onychinalis,Glyphodes onychinalis,taiCOLNameCode重複,2,https://taxatree.tbn.org.tw/taxa/8e5475fa-cb20-4058-8188-371245b28383
4f158fb1-788f-42f1-a24a-f1083cfadaf1,species,Animalia,t0031661,"",Patania iopasalis,Patania iopasalis,taiCOLNameCode重複,179,https://taxatree.tbn.org.tw/taxa/4f158fb1-788f-42f1-a24a-f1083cfadaf1
d3b7b49b-48be-4b48-b4b5-0df7ea7e0762,species,Animalia,t0056276,"",Sisyrophora pfeifferae,Sisyrophora pfeifferae,taiCOLNameCode重複,46,https://taxatree.tbn.org.tw/taxa/d3b7b49b-48be-4b48-b4b5-0df7ea7e0762
3b98a1cd-fe46-4079-90f9-1d80e5025bba,species,Animalia,t0099029,"",Syntypistis cyanea,Syntypistis cyanea,taiCOLNameCode重複,694,https://taxatree.tbn.org.tw/taxa/3b98a1cd-fe46-4079-90f9-1d80e5025bba
3bc12ebd-76d2-4f61-b263-80e46d5d0a1d,species,Animalia,t0027884,"",Cryptolechia argometra,Cryptolechia argometra,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/3bc12ebd-76d2-4f61-b263-80e46d5d0a1d
c6f6327d-d4c1-40d6-8ce8-2e9634e797be,species,Animalia,t0032307,"",Pseudoxyroptilatila oenophanes,Pseudoxyroptilatila oenophanes,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/c6f6327d-d4c1-40d6-8ce8-2e9634e797be
1f3f9d76-b7d5-4f35-b808-2c5c4f438aab,species,Animalia,t0050548,"",Dacrypohanes cyanastra,Dacrypohanes cyanastra,taiCOLNameCode重複,5,https://taxatree.tbn.org.tw/taxa/1f3f9d76-b7d5-4f35-b808-2c5c4f438aab
0f748589-26a6-4fb4-80bd-4d9ad57c4d45,species,Animalia,t0028633,"",Bambusananus binotatus,Bambusananus binotatus,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/0f748589-26a6-4fb4-80bd-4d9ad57c4d45
630a387e-1cdf-4d7c-a441-4fe50b94728f,species,Animalia,t0028633,"",Bambusananus lii,Bambusananus lii,taiCOLNameCode重複,4,https://taxatree.tbn.org.tw/taxa/630a387e-1cdf-4d7c-a441-4fe50b94728f
787738c7-1297-480d-8a95-6686384c1084,species,Animalia,t0062533,"",Empoasca onukii,Empoasca onukii,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/787738c7-1297-480d-8a95-6686384c1084
acad3e7f-0ad4-4923-b067-95ecd174e6f3,species,Animalia,t0028635,"",Nesophrosyne orientalis,Nesophrosyne orientalis,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/acad3e7f-0ad4-4923-b067-95ecd174e6f3
da5a8bab-8e2d-40d7-a089-f568e10914ef,species,Animalia,t0072048,"",Apolygus fuhoshoensis,Apolygus fuhoshoensis,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/da5a8bab-8e2d-40d7-a089-f568e10914ef
413287d3-b841-4160-aad8-2fab6076124d,species,Animalia,t0063527,"",Eurystylomorpha crassicornis,Eurystylomorpha crassicornis,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/413287d3-b841-4160-aad8-2fab6076124d
7e7b3556-88e8-4084-9137-55b65141388a,species,Animalia,t0076180,"",Balclutha akonis,Balclutha akonis,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/7e7b3556-88e8-4084-9137-55b65141388a
8b4c13a4-5339-4ccc-ac70-5baf25a70f38,species,Animalia,t0076184,"",Balclutha orientalis,Balclutha orientalis,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/8b4c13a4-5339-4ccc-ac70-5baf25a70f38
d89dc682-0da3-4711-a563-3bab449648dd,species,Animalia,t0076184,"",Balclutha pallidula,Balclutha pallidula,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/d89dc682-0da3-4711-a563-3bab449648dd
8af8e5ea-37ef-4333-a168-b8c6765ff5b3,species,Animalia,t0076180,"",Balclutha incisa,Balclutha incisa,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/8af8e5ea-37ef-4333-a168-b8c6765ff5b3
098bf377-4cab-4977-bbf6-40566f06cce5,species,Animalia,t0028635,"",Eutettix orientalis,Eutettix orientalis,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/098bf377-4cab-4977-bbf6-40566f06cce5
03cdad10-c3b1-4bdb-86e9-967473eb9c16,species,Animalia,t0065650,"",Hishimonus disciguttus,Hishimonus disciguttus,taiCOLNameCode重複,0,https://taxatree.tbn.org.tw/taxa/03cdad10-c3b1-4bdb-86e9-967473eb9c16
e958e3d2-59d6-4bf6-8fdc-6d86cd010eae,species,Animalia,t0065650,"",Hishimonus sellatus,Hishimonus sellatus,taiCOLNameCode重複,2,https://taxatree.tbn.org.tw/taxa/e958e3d2-59d6-4bf6-8fdc-6d86cd010eae
