taxon_id,rank,simple_name,reason,TC_URL
t0084592,Subspecies,Cyperus imbricatus subsp. imbricatus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084592
t0084593,Subspecies,Cyrtomium falcatum subsp. falcatum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084593
t0084594,Subspecies,Daphniphyllum glaucescens subsp. oldhamii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084594
t0084596,Subspecies,Dumasia villosa subsp. bicolor,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084596
t0084597,Subspecies,Glycine max subsp. formosana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084597
t0084598,Subspecies,Gnaphalium luteoalbum subsp. luteoalbum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084598
t0084599,Subspecies,Gynura divaricata subsp. formosana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084599
t0084601,Subspecies,Ludwigia epilobioides subsp. greatrexii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084601
t0084602,Subspecies,Marchantia emarginata subsp. tosana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084602
t0084603,Subspecies,Marchantia paleacea subsp. diptera,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084603
t0084604,Subspecies,Marchantia paleacea subsp. paleacea,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084604
t0084607,Subspecies,Meteorium miquelianum subsp. atrovariegatum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084607
t0084608,Subspecies,Mucuna gigantea subsp. tashiroi,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084608
t0084609,Subspecies,Mylia verrucosa subsp. nuda,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084609
t0084610,Subspecies,Mylia verrucosa subsp. verrucosa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084610
t0084612,Subspecies,Oxalis griffithii subsp. taimonii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084612
t0084613,Subspecies,Picris hieracioides subsp. morrisonensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084613
t0084614,Subspecies,Picris hieracioides subsp. ohwiana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084614
t0084615,Subspecies,Pogonatum cirratum subsp. fuscatum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084615
t0084616,Subspecies,Porella acutifolia subsp. acutifolia,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084616
t0084617,Subspecies,Porella acutifolia subsp. tosana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084617
t0084618,Subspecies,Porella gracillima subsp. gracillima,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084618
t0084619,Subspecies,Porella gracillima subsp. urogea,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084619
t0084620,Subspecies,Prunella vulgaris subsp. asiatica,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084620
t0084623,Subspecies,Rubus pseudoacer subsp. flexuosus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084623
t0084624,Subspecies,Scapania ligulata subsp. ligulata,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084624
t0084625,Subspecies,Scapania ligulata subsp. stephanii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084625
t0084626,Subspecies,Schoenus nitens subsp. nitens,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084626
t0084627,Subspecies,Selaginella doederleinii subsp. doederleinii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084627
t0084628,Subspecies,Selaginella doederleinii subsp. trachyphylla,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084628
t0084629,Subspecies,Sematophyllum subhumile subsp. japonicum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084629
t0084630,Subspecies,Sida javensis subsp. expilosa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084630
t0084631,Subspecies,Sida rhombifolia subsp. insularis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084631
t0084632,Subspecies,Sinskea flammea subsp. ochracea,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084632
t0084633,Subspecies,Skimmia japonica subsp. distincte-venulosa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084633
t0084634,Subspecies,Sorghum bicolor subsp. arundinaceum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084634
t0084635,Subspecies,Youngia japonica subsp. formosana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084635
t0084636,Subspecies,Youngia japonica subsp. japonica,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0084636
t0085089,Subspecies,Arabidopsis lyrata subsp. kamchatica,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085089
t0085090,Subspecies,Arisaema thunbergii subsp. autumnale,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085090
t0085091,Subspecies,Asystasia gangetica subsp. micrantha,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085091
t0085092,Subspecies,Bolboschoenus maritimus subsp. affinis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085092
t0085093,Subspecies,Centratherum punctatum subsp. fruticosum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085093
t0085094,Subspecies,Clematis gouriana subsp. lishanensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085094
t0085095,Subspecies,Cornus kousa subsp. chinensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085095
t0085096,Subspecies,Cyperus nutans subsp. subprolixus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085096
t0085097,Subspecies,Cyrtomium falcatum subsp. australe,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085097
t0085098,Subspecies,Dryopteris wallichiana subsp. nepalensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085098
t0085101,Subspecies,Phyllanthus urinaria subsp. nudicarpus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085101
t0085104,Subspecies,Youngia japonica subsp. monticola,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0085104
t0086507,Subspecies,Amanita hemibapha subsp. hemibapha,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086507
t0086508,Subspecies,Amanita hemibapha subsp. similis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086508
t0086509,Subspecies,Aspergillus niger subsp. niger,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086509
t0086510,Subspecies,Bryoria trichodes subsp. americana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086510
t0086511,Subspecies,Cetraria islandica subsp. orientalis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086511
t0086512,Subspecies,Cladina rangiferina subsp. grisea,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086512
t0086513,Subspecies,Fusarium oxysporum subsp. cucumerinum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086513
t0086514,Subspecies,Fusarium oxysporum subsp. lactucae,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086514
t0086515,Subspecies,Haematomma puniceum subsp. pacificum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086515
t0086516,Subspecies,Lecanora subimmersa subsp. umbrinascens,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086516
t0086517,Subspecies,Pseudocercospora formosana subsp. mista,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086517
t0086518,Subspecies,Tubulicium vermiferum subsp. raphidosporum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086518
t0086519,Subspecies,Tylophoron moderatum subsp. orientale,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086519
t0086520,Subspecies,Usnea baileyi subsp. septentrionalis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086520
t0086521,Subspecies,Usnea confusa subsp. pygmoidea,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086521
t0086522,Subspecies,Usnea confusa subsp. subconfusa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086522
t0086523,Subspecies,Usnea pangiana subsp. hondoensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0086523
t0088586,Subspecies,Salmonella choleraesuis subsp. choleraesuis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0088586
t0088763,Subspecies,Lactobacillus delbrueckii subsp. bulgaricus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0088763
t0088766,Subspecies,Leuconostoc mesenteroides subsp. cremoris,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0088766
t0088839,Subspecies,Streptococcus faecium subsp. casseliflavus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0088839
t0090564,Subspecies,Staphylococcus aureus subsp. aureus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0090564
t0090624,Subspecies,Streptomyces cacaoi subsp. cacaoi,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0090624
t0090632,Subspecies,Streptomyces chrysomallus subsp. chrysomallus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0090632
t0090953,Subspecies,Pseudomonas avenae subsp. avenae,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0090953
t0091016,Subspecies,Alcaligenes faecalis subsp. faecalis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091016
t0091310,Subspecies,Bacillus subtilis subsp. subtilis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091310
t0091497,Subspecies,Salmonella enterica subsp. enterica,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091497
t0091498,Subspecies,Leifsonia xyli subsp. cynodontis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091498
t0091499,Subspecies,Leucobacter chromiireducens subsp. solipictus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091499
t0091500,Subspecies,Roseomonas gilardii subsp. rosea,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091500
t0091501,Subspecies,Staphylococcus sciuri subsp. carnaticus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091501
t0091502,Subspecies,Staphylococcus sciuri subsp. rodentium,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091502
t0091503,Subspecies,Staphylococcus sciuri subsp. sciuri,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091503
t0091504,Subspecies,Streptomyces chrysomallus subsp. fumigatus,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091504
t0091505,Subspecies,Alcaligenes faecalis subsp. parafaecalis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091505
t0091506,Subspecies,Anabaena azollae subsp. carolinianae,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091506
t0091507,Subspecies,Anabaena azollae subsp. imbricatae,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091507
t0091508,Subspecies,Bacillus subtilis subsp. inaquosorum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091508
t0091509,Subspecies,Bacillus thuringiensis subsp. israelensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091509
t0091510,Subspecies,Bacillus thuringiensis subsp. kurstaki,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0091510
t0100680,Subspecies,Passiflora suberosa subsp. litoralis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0100680
t0101125,Subspecies,Cladonia rangiferina subsp. grisea,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0101125
t0101126,Subspecies,Oxalis griffithii subsp. formosana,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0101126
t0101127,Subspecies,Parietaria lusitanica subsp. chersonensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0101127
t0101196,Subspecies,Crepidomanes minutum subsp. minutum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0101196
t0102094,Subspecies,Cyperus malaccensis subsp. malaccensis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0102094
t0102096,Subspecies,Grona heterocarpa subsp. heterocarpa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0102096
t0102103,Subspecies,Hylodesmum podocarpum subsp. podocarpum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0102103
t0102132,Subspecies,Sida rhombifolia subsp. rhombifolia,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0102132
t0102192,Subspecies,Pteris cretica subsp. cretica,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0102192
t0102665,Subspecies,Entada phaseoloides subsp. phaseoloides,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0102665
t0103196,Subspecies,Wisteria frutescens subsp. macrostachya,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0103196
t0103465,Subspecies,Equisetum ramosissimum subsp. debile,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0103465
t0103474,Subspecies,Asplenium yoshinagae subsp. indicum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0103474
t0103605,Subspecies,Amphicarpaea bracteata subsp. edgeworthii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0103605
t0105381,Subspecies,Photobacterium damselae subsp. damselae,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0105381
t0105409,Subspecies,Wisteria frutescens subsp. frutescens,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0105409
t0105492,Subspecies,Sedum japonicum subsp. japonicum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0105492
t0105589,Subspecies,Lactobacillus casei subsp. casei,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0105589
t0105591,Subspecies,Equisetum ramosissimum subsp. ramosissimum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0105591
t0105696,Subspecies,Clematis parviloba subsp. shengzhenii,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0105696
t0106112,Subspecies,Leifsonia xyli subsp. xyli,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0106112
t0106422,Subspecies,Cyclocodon lancifolius subsp. lancifolius,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0106422
t0106491,Subspecies,Eupatorium cannabinum subsp. asiaticum,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0106491
t0106540,Subspecies,Cyperus alternifolius subsp. flabelliformis,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0106540
t0106552,Subspecies,Epilobium amurense subsp. amurense,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0106552
t0106569,Subspecies,Balanophora fungosa subsp. fungosa,錯誤符號與括號前後空格,https://taicol.tw/zh-hant/taxon/t0106569
t0122680,Genus,× Epicattleya,高階層欄位出現多詞格式,https://taicol.tw/zh-hant/taxon/t0122680
t0122680,Genus,× Epicattleya,大小寫錯誤,https://taicol.tw/zh-hant/taxon/t0122680
